

Section,Variable Name,Variable Label,
Frequently Used Variables   ,BYSES,"Socioeconomic status",
Frequently Used Variables   ,CONS_EMP,"Was the respondent employed consistently",
Frequently Used Variables   ,CRATEFST,"Credit production rate, first year",
Frequently Used Variables   ,CREDATT1,"Credits attempted term 1 at 2/4-yr inst.",
Frequently Used Variables   ,DEGREE93,"Consolidated highest degree 1993",
Frequently Used Variables   ,EDASP82,"Educational aspirations in 1982",
Frequently Used Variables   ,EDATT4,"Student's highest educational experience",
Frequently Used Variables   ,END_PAY,"Annual earnings for last full year after attainment",
Frequently Used Variables   ,GPA,"Undergraduate GPA",
Frequently Used Variables   ,HIGH_DEG,"Highest degree the respondent received",
Frequently Used Variables   ,HSGRAD,"High school degree/equivalency respondent received",
Frequently Used Variables   ,INSTCOM3,"Combination of institutions attended (mod)",
Frequently Used Variables   ,MONSTRT,"Time between high school and postsecondary",
Frequently Used Variables   ,N30,"Academic year when earned 30th credit",
Frequently Used Variables   ,RACE,"Race of respondent from fourth follow-up",
Frequently Used Variables   ,RACE4,"Race/ethnicity",
Frequently Used Variables   ,SESQ,"Socioeconomic status quartile",
Frequently Used Variables   ,SEX,"Gender",
Frequently Used Variables   ,SRTESTQ,"Senior test quarile",
Frequently Used Variables   ,STWAA2,"Employment status after AA, no enrollment",
Frequently Used Variables   ,STWBA2,"Employment status after BA, no enrollment",
Frequently Used Variables   ,STWHS18,"Employment status following grad 18 months",
Frequently Used Variables   ,TRIFA3,"True institution first attended (modified)",
Frequently Used Variables   ,TRUMO,"Month began postsecondary education",
Frequently Used Variables   ,TRUSECT,"First institution level/control/offering",
Frequently Used Variables   ,UG1GPA,"GPA for first academic year of PSE",
Frequently Used Variables   ,Y4301B9Z,"Annual earnings in 1991",
Aid Application   ,SY14C1,"Applied for student financial aid at first choice",
Aid Application   ,Y4211,"Applied for financial aid at first choice",
Aid Type   ,ATHLSCOL,"Athletic scholarship",
Aid Type   ,GRANT1,"Grant 82-83",
Aid Type   ,GRANT2,"Grant 83-84",
Aid Type   ,GRANT3,"Grant 84-85",
Aid Type   ,GRANT4,"Grant 85-86",
Aid Type   ,GSL1,"Stafford loan 82-83",
Aid Type   ,GSL2,"Stafford loan 83-84",
Aid Type   ,GSL3,"Stafford loan 84-85",
Aid Type   ,GSL4,"Stafford loan 85-86",
Aid Type   ,LOAN1,"Loan 82-83",
Aid Type   ,LOAN2,"Loan 83-84",
Aid Type   ,LOAN3,"Loan 84-85",
Aid Type   ,LOAN4,"Loan 85-86",
Aid Type   ,LOAN8286,"Received ed loan 82-86",
Aid Type   ,PELL1,"Pell 82-83",
Aid Type   ,PELL2,"Pell 83-84",
Aid Type   ,PELL3,"Pell 84-85",
Aid Type   ,PELL4,"Pell 85-86",
Aid Type   ,SCHL8286,"Received scholarship between 82-86",
Aid Type   ,WKST8283,"College work/study 1982-83",
Aid Type   ,WKST8384,"College work/study 1983-84",
Aid Type   ,WKST8485,"College work/study 1984-85",
Aid Type   ,WKST8586,"College work/study 1985-86",
Aid Type   ,Y4203M01,"First institution athletic scholarship",
Background Demographics   ,AGE,"Age received highest degree",
Background Demographics   ,AGE92,"Age in 1992 (4th follow-up)",
Background Demographics   ,BB044,"Respondent not born in the US 80",
Background Demographics   ,BB045,"Years respondent in US 80",
Background Demographics   ,BB091,"Religious background in 1980",
Background Demographics   ,BB094,"Political beliefs in 1980",
Background Demographics   ,BB096A,"Sibling order",
Background Demographics   ,BIRTHYR,"Year of birth",
Background Demographics   ,BYSES,"Socioeconomic status",
Background Demographics   ,CHILD82,"Became a parent by 1982",
Background Demographics   ,CHILD86M,"Became a parent by 1986, modified version",
Background Demographics   ,DIVERENV,"Race/ethn diversity resid and work envir 1992",
Background Demographics   ,FMFRM92,"Marital and parental status 1992",
Background Demographics   ,FYCOMMUN,"Community orientation",
Background Demographics   ,FYCONCPT,"Self-concept",
Background Demographics   ,FYFAMILY,"Family orientation percentile",
Background Demographics   ,FYLOCUS,"Locus-of-control",
Background Demographics   ,FYWORK,"Work orientation 1982",
Background Demographics   ,HOMELANG,"Language spoken at home 1982",
Background Demographics   ,LVARNG92,"Living arrangements 1992",
Background Demographics   ,MARST86,"Marital status in 1986",
Background Demographics   ,MARST92,"Marital status 9206",
Background Demographics   ,PBYSES,"Status: Socioeconomic status percentile",
Background Demographics   ,RACE,"Race of respondent from fourth follow-up",
Background Demographics   ,RACE4,"Race/ethnicity",
Background Demographics   ,RACESEX,"Race/ethnicity and gender",
Background Demographics   ,RACETRAN,"Race/ethnicity to be used with transcript system",
Background Demographics   ,SESQ,"Socioeconomic status quartile",
Background Demographics   ,SESQUINT,"Socioeconomic status in quintiles",
Background Demographics   ,SEX,"Gender",
Background Demographics   ,SY56,"Marital status Feb 1984",
Background Demographics   ,TMSMAR92,"Number of marriages",
Background Demographics   ,TY41,"Marital status first week of Feb 86",
Background Demographics   ,Y4401A62,"2/88 Marital Status",
Background Demographics   ,Y4401A86,"2/90 Marital status",
Background Disabilities   ,FY103A,"Learning disability 82",
Background Disabilities   ,FY103B,"Visual handicap not corrected 82",
Background Disabilities   ,FY103C,"Hard of hearing 82",
Background Disabilities   ,FY103D,"Deafness 82",
Background Disabilities   ,FY103E,"Speech disability 82",
Background Disabilities   ,FY103F,"Orthopedic handicap 82",
Background Disabilities   ,FY103G,"Other physical disability 82",
Background Disabilities   ,FY104,"Physical condition limiting work 82",
Background Disabilities   ,HANDICAP,"Handicapped status & handicapped program participation",
Background Goals   ,BUCKS82,"Life values orientation in 1982-money",
Background Goals   ,BUCKS84,"Life values orientation in 1984-money",
Background Goals   ,BUCKS86,"Life values orientation in 1986-money",
Background Goals   ,EGO82,"Life values orientation in 1982-self",
Background Goals   ,EGO84,"Life values orientation in 1984-self",
Background Goals   ,EGO86,"Life values orientation in 1986-self",
Background Goals   ,FEMHOM82,"Attitude to womens home/work roles 1982",
Background Goals   ,FEMHOM86,"Attitude to womens home/work roles 1986",
Background Goals   ,VALUFRND,"Strong friendship",
Background Goals   ,VALUMONY,"Money",
Background Goals   ,VALUOPPR,"Children better opportunity",
Background Goals   ,VALUSTED,"Steady work",
Background Goals   ,VALUWORK,"Success in work",
Background Goals   ,WAITER84,"Possibility of working as a waiter 1984",
Background Health   ,BB085,"Height in 1980",
Background Health   ,BB086,"Weight in 1980",
Background Health   ,TY62,"Days past month drink alcohol 86",
Background Health   ,TY63,"Days past month 6 or more drinks 86",
Background Health   ,TY65A,"Doctor for routine physical check-up",
Background Health   ,TY65B,"Doctor for injury fight/assault",
Background Health   ,TY65C,"Doctor for other accidental injury",
Background Health   ,TY65D,"Doctor for illness not pregnant",
Background Health   ,TY65E,"Doctor for psychological problem",
Background Residence   ,FY100,"Community lived in Feb 1982",
Background Residence   ,MOBIL86,"Distance of 86 residence to HS location",
Background Residence   ,RACECHNG,"Aggregate chance in race environment",
Background Residence   ,SY6,"Community lived in Feb 1984",
Background Residence   ,SY7,"Distance from high school in 1984",
Background Residence   ,Y4506A,"Percent in neighborhood grew up same race",
Background Residence   ,Y4506B,"Percent in present neighborhood same race",
Education Admission   ,FY124,"Application to college 82",
Education Admission   ,SY14B1,"Accepted at first choice college",
Education Admission   ,Y4206,"Applied to graduate or professional institution",
Education Admission   ,Y4208,"Number of applications",
Education Admission   ,Y4210,"Accepted at first choice",
Education Attainment   ,AADATE,"Associate's award date-transcript (YYMM)",
Education Attainment   ,AGE,"Age received highest degree",
Education Attainment   ,ATM_1,"Degree first attempted",
Education Attainment   ,ATMDEGB,"When first attempted associate degree",
Education Attainment   ,ATMDEGC,"When first attempted bachelor's degree",
Education Attainment   ,ATMDEGD,"When first attempted master's degree",
Education Attainment   ,ATMDEGE,"When first attempted professional degree",
Education Attainment   ,ATMDEGF,"When first attempted doctorate",
Education Attainment   ,ATPAT,"Comprehensive attainment pattern",
Education Attainment   ,ATWX,"Postsecondary attainment pattern",
Education Attainment   ,BADATE,"Bachelor's award date-transcript (YYMM)",
Education Attainment   ,BAMJR,"Bachelor's major",
Education Attainment   ,CDEGALL,"Credits and degrees at 2/4-yr inst. (all)",
Education Attainment   ,CDEGCMP,"Credits and degrees at 2/4-yr institutions",
Education Attainment   ,CERTDATE,"Certificate award date-transcript (YYMM)",
Education Attainment   ,COMPLETE,"Completeness of record",
Education Attainment   ,CRATT1,"Credits attempted:completed term 1",
Education Attainment   ,CRATY1,"Credits attempted:completed year 1",
Education Attainment   ,CRD2YR,"Credits earned from 2-year institutions",
Education Attainment   ,CRD4YR,"Credits earned from 4-year institutions",
Education Attainment   ,CREDATT1,"Credits attempted term 1 at 2/4-yr inst.",
Education Attainment   ,CREDATY1,"Credits attempted/term, yr 1 at 2/4-yr inst.",
Education Attainment   ,CREDRAT,"Ratio of undergrad cred earned/attempted",
Education Attainment   ,CREDRAT1,"Ratio of earn/attemp credits in 1st year",
Education Attainment   ,CREDRET,"Credit-retention account of attainment",
Education Attainment   ,CREDS2,"Semester credits completed at 2-year inst'n",
Education Attainment   ,CREDS4,"Semester credits completed at 4-year inst'n",
Education Attainment   ,CREDSALL,"All semester creds at 2/4-year inst'ns",
Education Attainment   ,CREDSCMP,"Semester credits completed at 2/4-year inst",
Education Attainment   ,CREDSEX,"Semester credits by exam at 2/4-year inst'n",
Education Attainment   ,DEG1,"No degree",
Education Attainment   ,DEG2,"Certificate",
Education Attainment   ,DEG3,"Associate's degree",
Education Attainment   ,DEG4,"Bachelor's degree",
Education Attainment   ,DEG5,"Post-Baccalaureate degree",
Education Attainment   ,DEG6,"Incomplete graduate degree",
Education Attainment   ,DEG7,"Master's degree",
Education Attainment   ,DEG8,"First professsional degree",
Education Attainment   ,DEG9,"PhD",
Education Attainment   ,DEG93V2,"Highest degree 1993 version 2",
Education Attainment   ,DEGCOMB,"Combination of postsecondary awards",
Education Attainment   ,DEGREE1,"First postsecondary award",
Education Attainment   ,DEGREE93,"Consolidated highest degree 1993",
Education Attainment   ,EDATT3,"Student's highest education attained",
Education Attainment   ,EDATT4,"Student's highest educational experience",
Education Attainment   ,EPATH,"Engineering path",
Education Attainment   ,FRESHCRD,"Credits earned to attempted ratio",
Education Attainment   ,HDEG,"Highest degree earned",
Education Attainment   ,HGHDG92,"Highest degree earned by 9206",
Education Attainment   ,HIGH_DEG,"Highest degree the respondent received",
Education Attainment   ,HIGHDEG,"Highest educational attainment by 9206",
Education Attainment   ,IMPCRED,"Imputed credits for hsbstat3 group",
Education Attainment   ,METED93,"Ed attainment in 1993 and 1982 goals",
Education Attainment   ,METEX93,"Rel of 1993 attainment to 1982 plans",
Education Attainment   ,NHDEG,"Confirmed highest degree 1993",
Education Attainment   ,REFINST,"Referent first instit of attendance",
Education Attainment   ,SCHL1A,"First institution type attended for certificate",
Education Attainment   ,SCHL1B,"First institution type attended for associates degree",
Education Attainment   ,SCHL1C,"First institution type attended for bachelors degree",
Education Attainment   ,SCHL1D,"First institution type attended for masters degree",
Education Attainment   ,SCHL1E,"First institution type attended for professional degree",
Education Attainment   ,SCHL1F,"First institution type attended for doctorate",
Education Attainment   ,SCLCNTBA,"Institution granting first bachelors degree",
Education Attainment   ,STYPE1,"Special mission institution of no degree",
Education Attainment   ,STYPE3,"Special mission instit of Associate's degree",
Education Attainment   ,STYPE4,"Special mission instit of Bachelor's degree",
Education Attainment   ,TCREDA,"Credits after BA",
Education Attainment   ,TCREDB,"Credits before BA",
Education Attainment   ,TIMEAA,"Elapsed time to associate's degree",
Education Attainment   ,TIMEBA,"Elapsed time to bachelor's degree",
Education Attendance   ,A2YR,"Community college attendance pattern",
Education Attendance   ,ALTSFLAG,"Alternating/simultaneous enrollment",
Education Attendance   ,ATTFOUR,"Ever attend 4-year college as undergrad.",
